Time,ITAbond_nom,inflation,Moodys,Fitch,ITAbond_real,gdp
1997_01_01,7.38,2.7295,14,14,4.6505,0.36
1997_02_01,7.36,2.2222,14,14,5.1378,0.36
1997_03_01,7.87,2.2167,14,14,5.6533,0.36
1997_04_01,7.74,1.9632,14,14,5.7768,1.32
1997_05_01,7.32,1.7094,14,14,5.6106,1.32
1997_06_01,7.07,1.5854,14,14,5.4846,1.32
1997_07_01,6.52,1.7094,14,14,4.8106,0.66
1997_08_01,6.66,1.5854,14,14,5.0746,0.66
1997_09_01,6.36,1.5834,14,14,4.7766,0.66
1997_10_01,6.2,1.8248,14,14,4.3752,1.7
1997_11_01,6.13,1.8182,14,14,4.3118,1.7
1997_12_01,5.74,1.8160,14,14,3.9240,1.7
1998_01_01,5.43,1.8116,14,14,3.6184,-0.59
1998_02_01,5.38,2.1739,14,14,3.2061,-0.59
1998_03_01,5.2,2.0482,14,14,3.1518,-0.59
1998_04_01,5.15,2.1661,14,14,2.9839,0.49
1998_05_01,5.21,2.0408,14,14,3.1692,0.49
1998_06_01,5.08,2.0408,14,14,3.0392,0.49
1998_07_01,4.97,2.0408,14,14,2.9292,0.11
1998_08_01,4.79,2.1609,14,14,2.6291,0.11
1998_09_01,4.53,2.0384,14,14,2.4916,0.11
1998_10_01,4.49,1.9116,14,14,2.5784,-0.42
1998_11_01,4.38,1.6667,14,14,2.7133,-0.42
1998_12_01,4,1.6647,14,14,2.3353,-0.42
1999_01_01,3.92,1.4235,14,14,2.4965,0.63
1999_02_01,4.05,1.3002,14,14,2.7498,0.63
1999_03_01,4.27,1.4168,14,14,2.8532,0.63
1999_04_01,4.11,1.2956,14,14,2.8144,0.38
1999_05_01,4.28,1.5294,14,14,2.7506,0.38
1999_06_01,4.62,1.5294,14,14,3.0906,0.38
1999_07_01,4.94,1.7647,14,14,3.1753,0.82
1999_08_01,5.13,1.6451,14,14,3.4849,0.82
1999_09_01,5.28,1.9976,14,14,3.2824,0.82
1999_10_01,5.52,1.8757,14,14,3.6443,1.5
1999_11_01,5.25,1.9906,14,14,3.2594,1.5
1999_12_01,5.36,2.1053,14,14,3.2547,1.5
2000_01_01,5.75,2.2222,14,14,3.5278,1.16
2000_02_01,5.73,2.3337,14,14,3.3963,1.16
2000_03_01,5.58,2.5611,14,14,3.0189,1.16
2000_04_01,5.47,2.4419,14,14,3.0281,0.66
2000_05_01,5.67,2.4334,14,14,3.2366,0.66
2000_06_01,5.51,2.6651,14,14,2.8449,0.66
2000_07_01,5.59,2.6590,14,14,2.9310,0.68
2000_08_01,5.56,2.6590,14,14,2.9010,0.68
2000_09_01,5.63,2.5346,14,14,3.0954,0.68
2000_10_01,5.58,2.7618,14,14,2.8182,1.46
2000_11_01,5.55,2.8703,14,14,2.6797,1.46
2000_12_01,5.3,2.7491,14,14,2.5509,1.46
2001_01_01,5.18,2.4027,14,14,2.7773,0.53
2001_02_01,5.18,1.4823,14,14,3.6977,0.53
2001_03_01,5.13,2.0431,14,14,3.0869,0.53
2001_04_01,5.28,2.8377,14,14,2.4423,-0.29
2001_05_01,5.45,2.8281,14,14,2.6219,-0.29
2001_06_01,5.4,2.9345,14,14,2.4655,-0.29
2001_07_01,5.42,2.3649,14,14,3.0551,-0.24
2001_08_01,5.22,2.0270,14,14,3.1930,-0.24
2001_09_01,5.2,2.1348,14,14,3.0652,-0.24
2001_10_01,4.96,2.3516,14,14,2.6084,-0.08
2001_11_01,4.8,2.2321,14,14,2.5679,-0.08
2001_12_01,5.05,2.2297,14,14,2.8203,-0.08
2002_01_01,5.14,2.3464,14,14,2.7936,-0.04
2002_02_01,5.2,2.6966,14,14,2.5034,-0.04
2002_03_01,5.41,2.5584,14,14,2.8516,-0.04
2002_04_01,5.4,2.5386,14,14,2.8614,0.46
2002_05_01,5.41,2.4202,16,14,2.9898,0.46
2002_06_01,5.26,2.1930,16,16,3.0670,0.46
2002_07_01,5.11,2.4202,16,16,2.6898,0.21
2002_08_01,4.83,2.6490,16,16,2.1810,0.21
2002_09_01,4.62,2.8603,16,16,1.7597,0.21
2002_10_01,4.76,2.8446,16,16,1.9154,0.38
2002_11_01,4.74,2.8384,16,16,1.9016,0.38
2002_12_01,4.55,2.9444,16,16,1.6056,0.38
2003_01_01,4.38,2.8384,16,16,1.5416,-0.39
2003_02_01,4.16,2.6258,16,16,1.5342,-0.39
2003_03_01,4.19,2.9284,16,16,1.2616,-0.39
2003_04_01,4.31,3.0140,16,16,1.2960,-0.11
2003_05_01,4.04,2.9001,16,16,1.1399,-0.11
2003_06_01,3.82,2.8970,16,16,0.9230,-0.11
2003_07_01,4.13,2.9001,16,16,1.2299,-0.07
2003_08_01,4.29,2.6882,16,16,1.6018,-0.07
2003_09_01,4.31,2.8877,16,16,1.4223,-0.07
2003_10_01,4.38,2.7660,16,16,1.6140,0.92
2003_11_01,4.51,2.7601,16,16,1.7499,0.92
2003_12_01,4.46,2.5424,16,16,1.9176,0.92
2004_01_01,4.32,2.1231,16,16,2.1969,0.34
2004_02_01,4.34,2.4520,16,16,1.8880,0.34
2004_03_01,4.17,2.3182,16,16,1.8518,0.34
2004_04_01,4.35,2.2989,16,16,2.0511,0.29
2004_05_01,4.49,2.2965,16,16,2.1935,0.29
2004_06_01,4.54,2.3983,16,16,2.1417,0.29
2004_07_01,4.44,2.2965,16,16,2.1435,-0.01
2004_08_01,4.28,2.4084,16,16,1.8716,-0.01
2004_09_01,4.25,2.1830,16,16,2.0670,-0.01
2004_10_01,4.13,2.0704,16,16,2.0596,0.19
2004_11_01,4,2.0661,16,16,1.9339,0.19
2004_12_01,3.79,2.3760,16,16,1.4140,0.19
2005_01_01,3.71,1.9751,16,16,1.7349,-0.1
